ID,duLN1,du.2,duLN3,dut4,dui5,due6,duLN7,du58,duLN9,duSH10,dur11,duo12,dua13,dun14,dul15,duDO16,tsizeLN1,tisze.2,tsizeLN3,tsizet4,tsizei5,tsizee6,tsizeLN7,tsize58,tsizeLN9,tsizeSH10,tsizer11,tsizeo12,tsizea13,tsizen14,tsizel15,tsizeDO16,UUID
11,82.0,68.0,54.0,67.0,81.0,53.0,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,81.0,68.0,0.009803921915590765,0.025490198284387592,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.011764707043766977,0.029411766678094864,0.01960784383118153,0.0313725508749485,0.021568628028035164,0.01960784383118153,0.021568628028035164,0.007843137718737125,0.01568627543747425,0.029411766678094864,test2
12,81.0,53.0,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,81.0,68.0,81.0,81.0,68.0,68.0,0.021568628028035164,0.021568628028035164,0.011764707043766977,0.029411766678094864,0.01960784383118153,0.0313725508749485,0.021568628028035164,0.01960784383118153,0.021568628028035164,0.007843137718737125,0.01568627543747425,0.029411766678094864,0.01960784383118153,0.005882353521883489,0.0313725508749485,0.01568627543747425,test2
13,68.0,54.0,40.0,81.0,95.0,68.0,82.0,67.0,81.0,68.0,81.0,81.0,68.0,68.0,68.0,68.0,0.011764707043766977,0.029411766678094864,0.01960784383118153,0.0313725508749485,0.021568628028035164,0.01960784383118153,0.021568628028035164,0.007843137718737125,0.01568627543747425,0.029411766678094864,0.01960784383118153,0.005882353521883489,0.0313725508749485,0.01568627543747425,0.021568628028035164,0.0313725508749485,test2
14,81.0,68.0,81.0,81.0,68.0,68.0,68.0,68.0,82.0,40.0,68.0,95.0,82.0,81.0,68.0,82.0,0.01568627543747425,0.029411766678094864,0.01960784383118153,0.005882353521883489,0.0313725508749485,0.01568627543747425,0.021568628028035164,0.0313725508749485,0.025490198284387592,0.01960784383118153,0.027450982481241226,0.029411766678094864,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.009803921915590765,test2
16,68.0,68.0,82.0,40.0,68.0,95.0,82.0,81.0,68.0,82.0,95.0,82.0,82.0,53.0,67.0,54.0,0.021568628028035164,0.0313725508749485,0.025490198284387592,0.01960784383118153,0.027450982481241226,0.029411766678094864,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.009803921915590765,0.021568628028035164,0.025490198284387592,0.01568627543747425,0.025490198284387592,0.027450982481241226,0.021568628028035164,test2
17,82.0,40.0,68.0,95.0,82.0,81.0,68.0,82.0,95.0,82.0,82.0,53.0,67.0,54.0,81.0,54.0,0.025490198284387592,0.01960784383118153,0.027450982481241226,0.029411766678094864,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.009803921915590765,0.021568628028035164,0.025490198284387592,0.01568627543747425,0.025490198284387592,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.021568628028035164,test2
18,95.0,82.0,82.0,53.0,67.0,54.0,81.0,54.0,82.0,39.0,54.0,81.0,54.0,67.0,96.0,81.0,0.021568628028035164,0.025490198284387592,0.01568627543747425,0.025490198284387592,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.025490198284387592,0.01960784383118153,0.0313725508749485,0.0313725508749485,0.011764707043766977,0.02352941408753395,0.01960784383118153,0.021568628028035164,test2
19,82.0,53.0,67.0,54.0,81.0,54.0,82.0,39.0,54.0,81.0,54.0,67.0,96.0,81.0,81.0,53.0,0.01568627543747425,0.025490198284387592,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.025490198284387592,0.01960784383118153,0.0313725508749485,0.0313725508749485,0.011764707043766977,0.02352941408753395,0.01960784383118153,0.021568628028035164,0.011764707043766977,0.027450982481241226,test2
20,69.0,69.0,55.0,69.0,84.0,70.0,55.0,51.0,55.0,42.0,83.0,68.0,83.0,69.0,69.0,79.0,0.01568627543747425,0.027450982481241226,0.01960784383118153,0.025490198284387592,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.011764707043766977,0.011764707043766977,0.021568628028035164,0.029411766678094864,0.01568627543747425,0.009803921915590765,0.01568627543747425,0.009803921915590765,0.017647059634327892,test3
21,55.0,69.0,84.0,70.0,55.0,51.0,55.0,42.0,83.0,68.0,83.0,69.0,69.0,79.0,50.0,41.0,0.01960784383118153,0.025490198284387592,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.011764707043766977,0.011764707043766977,0.021568628028035164,0.029411766678094864,0.01568627543747425,0.009803921915590765,0.01568627543747425,0.009803921915590765,0.017647059634327892,0.01568627543747425,0.02352941408753395,test3
